Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:36:52,27-02-2022,27.78,37.15,962.64,33.487885,72.848213,111.23
15:36:55,27-02-2022,27.79,37.15,962.66,33.488472,72.84893,112.06
15:36:57,27-02-2022,27.78,37.14,962.76,33.488865,72.849419,112.23
15:36:59,27-02-2022,27.78,37.13,962.93,33.489262,72.849899,113.38
15:37:01,27-02-2022,27.79,37.13,962.98,33.489662,72.850388,113.4
15:37:03,27-02-2022,27.78,37.14,963.05,33.490063,72.850876,114.23
15:37:05,27-02-2022,27.78,37.14,962.84,33.490463,72.851372,113.6
15:37:07,27-02-2022,27.79,37.14,962.89,33.49086,72.851852,112.38
15:37:09,27-02-2022,27.79,37.16,962.86,33.491253,72.852333,111.71
15:37:11,27-02-2022,27.79,37.19,962.81,33.491646,72.852814,110.81
15:37:13,27-02-2022,27.79,37.2,962.75,33.492031,72.853287,110.16
15:37:15,27-02-2022,27.8,37.22,962.71,33.492416,72.853752,108.95
15:37:17,27-02-2022,27.79,37.24,962.66,33.492798,72.854218,108.1
15:37:19,27-02-2022,27.79,37.27,962.5,33.493179,72.854683,108.62
15:37:21,27-02-2022,27.78,37.29,962.47,33.493557,72.855148,107.62
15:37:23,27-02-2022,27.79,37.3,962.5,33.493935,72.855606,107.51
15:37:25,27-02-2022,27.79,37.3,962.45,33.494312,72.856071,108.84
15:37:27,27-02-2022,27.79,37.3,962.51,33.494694,72.856537,107.66
15:37:29,27-02-2022,27.79,37.31,962.54,33.495075,72.857002,108.88
15:37:31,27-02-2022,27.8,37.32,962.6,33.495468,72.857475,110.45
15:37:33,27-02-2022,27.8,37.33,962.81,33.495865,72.857964,112.21
15:37:35,27-02-2022,27.8,37.33,962.84,33.496262,72.858459,113.97
15:37:37,27-02-2022,27.8,37.35,962.94,33.496662,72.858963,115.92
15:37:39,27-02-2022,27.79,37.35,963.05,33.497063,72.859474,117.06
15:37:41,27-02-2022,27.8,37.34,963.14,33.497467,72.860001,119.19
15:37:43,27-02-2022,27.79,37.33,963.21,33.497875,72.860527,120.1
15:37:45,27-02-2022,27.8,37.33,963.35,33.498283,72.861061,120.84
15:37:47,27-02-2022,27.8,37.32,963.36,33.498692,72.861595,120.42
15:37:49,27-02-2022,27.8,37.32,963.76,33.499088,72.862122,118.23
15:37:51,27-02-2022,27.8,37.3,963.84,33.499477,72.86264,116.05
15:37:53,27-02-2022,27.8,37.29,963.74,33.499863,72.863159,115.69
15:37:55,27-02-2022,27.8,37.27,963.74,33.500244,72.863678,114.97
15:37:57,27-02-2022,27.8,37.27,963.87,33.500622,72.864197,113.71
15:37:59,27-02-2022,27.81,37.25,963.55,33.500999,72.864708,113.86
15:38:01,27-02-2022,27.8,37.25,963.55,33.501373,72.865211,113.19
15:38:03,27-02-2022,27.8,37.25,963.57,33.501751,72.865715,111.49
15:38:05,27-02-2022,27.8,37.25,963.6,33.502129,72.866211,110.99
15:38:07,27-02-2022,27.81,37.26,963.56,33.502502,72.866699,112.19
15:38:09,27-02-2022,27.8,37.28,963.23,33.50288,72.867195,111.58
